淨值,聲量:00923,成交股數,成交筆數,股數/筆數,外陸資買賣超股數(不含外資自營商),投信買賣超股數,自營商買賣超股數,TW_加權指數_收盤價,TW_加權指數_成交股數,NASDAQ_收盤價,NASDAQ_成交股數,S&P500_收盤價,S&P500_成交股數,DJI_收盤價,DJI_成交股數
0.9981667533781265,0.0,-0.8033338542391646,-0.9671586515206676,0.873161754079528,0.9908191681830032,0.024646372110978816,0.758914283467427,0.9496507467422639,-0.43952815614966334,0.3322190320598288,0.10102210110277136,0.37161525937939427,0.18296923147509953,0.4768245555610397,0.3057282248335274
0.9986654900291382,0.39429986065076905,-0.20736332617692643,-0.0632054708717592,-0.2588520053029883,-0.4508186408932681,-9.210905695139124e-07,-0.2984043778344913,0.8867207962358951,-0.6403896454712913,-0.6912622095089206,0.5800036547853992,-0.9000130002727881,0.07697859505859736,-0.704259383202748,0.9014864608218309
0.9915450507785999,-0.9946928130529368,-0.4324235352174028,-0.6742220608806029,0.5012942359254484,-0.19011174006761938,0.0,0.8847548669705924,0.9770513055592436,0.5749564353539693,0.2763186505994305,0.4010587874411305,0.4825615893961861,0.45236138422737676,0.6465719477442761,-0.801723658415035
0.9944714434987083,0.0,-0.778845853583701,-0.6985100887272417,0.15970222274742724,0.6130163865353737,0.0,0.6851239922213779,0.9699217005004065,0.040467580644106334,0.4262431037989255,-0.05658979475991299,0.33622407291370343,-0.886313855099695,0.26302958552596,0.00948622124151677
0.9965983349514665,0.7625377142946423,0.6992320071989817,0.5381495207342528,0.717452873657873,0.5301831744724449,0.47957783823324,0.6341058323390194,0.9974361669934217,0.4168821890115871,0.9692955240510632,-0.3105527381880557,0.980912898594239,-0.49595141655383873,0.9740530368095722,-0.707587798898613
0.9970730028468365,0.9670473406945801,0.7689906309534684,0.797818505752084,0.6394451628181949,0.23456229065247783,0.0,0.8327566540994435,0.9864424729220892,0.5487434496496442,0.681524473148077,0.12790108186886984,0.6992616439794388,0.44036042925211955,0.7504274239062982,-0.08360634280695334
0.9700211552668841,0.6546227057050742,0.6463316047848671,0.6273155618395331,0.4925177405136369,0.5080082553350038,0.0,0.22627623969438437,0.9409225164009977,0.04942234318513578,0.42100864218833717,-0.8226927767061544,0.6229712156900752,-0.8058112008312697,0.4420264767072913,-0.8499419774955922
0.9912736663343689,0.527042925777166,-0.6918824331572468,-0.7181921228547572,0.45355246087221224,0.9709591540707974,0.0,0.29390692172971267,0.977970961011297,0.23564490844632993,-0.10568964248673393,-0.16893070129581705,-0.10635130653766582,-0.19302289964380168,-0.10731755202997958,-0.20806646615950983
0.9538738105211213,0.4618958007940779,-0.6665564993735945,-0.8575952859831377,0.8366253158514593,0.6367517544955242,0.0,0.6942439918470232,0.9758244538366017,0.2845698550547436,0.2004799628455858,-0.21705800724285906,0.4360231250475367,0.6453090992267997,0.1264083190955137,0.4484700284003468
0.9729630462464005,0.6999034073644907,-0.0188631520295281,-0.680464054370103,0.1836731437539649,0.13148368834234594,0.6042612244823203,0.5998288802778823,0.9892445930261673,-0.36616740160440064,0.5746484548460368,-0.6226442734424573,0.6694831956675791,-0.2083600594341891,0.8065726748800606,0.36010880372444526
0.9600032974338557,-0.2175725635417676,0.1332998128980952,0.4411296082959474,-0.214909737466104,0.17007973911438895,0.19380540566637758,0.022584217600287563,0.9872713989629269,0.7575023080787207,0.2794253995511983,0.27994518112889905,0.22038037536529653,0.343428997072606,0.369827063528698,0.4133366067471753
0.9870035425355344,0.74319504630006,-0.3703868220986392,-0.43887187226550045,0.21992063287420283,0.022000729535164895,0.0,0.3667613988150781,0.9601878447017899,-0.7118730770320632,-0.1041708135897375,0.023725609533153946,-0.1051658418694737,-0.27188517158593656,-0.10634444314952635,-0.21523025796424333
